Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
45119,-0.29,-0.25,9.81,0.01,-0.03,-0.00,17.00,-11.40,20.15
45262,-0.29,-0.27,10.15,0.01,-0.03,-0.01,17.00,-11.40,20.15
45407,-0.32,-0.22,9.87,0.01,-0.04,-0.01,17.00,-11.40,20.15
45550,-0.31,-0.09,9.63,0.00,-0.04,0.00,17.00,-11.40,20.15
45694,-0.26,-0.21,10.11,0.03,-0.05,0.01,17.00,-11.40,20.15
45838,-0.33,-0.40,9.65,0.00,-0.06,0.01,17.00,-11.40,20.15
45982,-0.31,-0.40,9.98,-0.00,-0.04,0.01,17.00,-11.40,20.15
46131,-0.31,-0.24,9.92,0.00,-0.04,0.00,17.00,-11.40,20.15
46275,-0.29,-0.10,9.84,0.00,-0.03,-0.01,17.00,-11.40,20.15
46419,-0.34,-0.31,10.10,0.02,-0.04,0.02,17.00,-11.40,20.15
46564,-0.31,-0.18,9.76,0.02,-0.06,0.01,17.00,-11.40,20.15
46708,-0.28,-0.17,9.98,-0.01,-0.04,0.01,17.00,-11.40,20.15
46853,-0.30,-0.18,9.80,0.02,-0.07,0.02,17.00,-11.40,20.15
46998,-0.31,-0.39,10.13,0.01,-0.05,0.01,17.00,-11.40,20.15
47142,-0.29,-0.24,9.86,0.01,-0.06,0.00,17.00,-11.40,20.15
47287,-0.25,-0.19,10.02,0.00,-0.05,0.01,17.00,-11.40,20.15
47436,-0.23,-0.18,9.97,0.03,-0.05,0.01,17.00,-11.40,20.15
47581,-0.25,-0.34,9.93,-0.01,-0.05,0.02,17.00,-11.40,20.15
47725,-0.24,-0.12,9.69,0.01,-0.06,0.00,17.00,-11.40,20.15
47870,-0.21,-0.21,10.11,0.01,-0.04,-0.01,17.00,-11.40,20.15
48014,-0.24,-0.21,9.90,0.02,-0.04,0.00,17.00,-11.40,20.15
48159,-0.22,-0.21,9.96,0.01,-0.05,-0.01,17.00,-11.40,20.15
